,X.ZTIME,LON,LAT,WSR_ID,CELL_ID,RANGE,AZIMUTH,SEVPROB,PROB,MAXSIZE
4891,2.0150103122e+13,-77.37532,38.99356,KIAD,I2,9,127,0,10,0.5
4904,2.01501031223e+13,-77.36288,38.97891,KIAD,I2,10,129,0,10,0.5
4905,2.01501031223e+13,-77.343,39.045,KIAD,M2,9,105,0,10,0.5
4924,2.01501031226e+13,-77.34768,38.99547,KIAD,I2,10,122,0,10,0.5
4925,2.01501031226e+13,-77.3622,39.05386,KIAD,M2,8,103,0,10,0.5
4944,2.01501031229e+13,-77.30169,39.03629,KIAD,R2,11,105,0,10,0.5
4946,2.01501031229e+13,-77.31147,38.97773,KIAD,I2,12,122,0,20,0.5
4967,2.01501031232e+13,-77.27254,38.96345,KIAD,I2,14,121,0,20,0.5
4980,2.01501031235e+13,-77.37526,38.96803,KIAD,Z2,10,134,0,20,0.5
5010,2.01501031238e+13,-77.26021,38.94742,KIAD,I2,15,123,0,20,0.5
5028,2.01501031241e+13,-77.27809,38.95655,KIAD,I2,14,123,0,20,0.5
5045,2.01501031244e+13,-77.24334,38.97006,KIAD,I2,15,117,0,20,0.5
5061,2.01501031245e+13,-77.05638,39.06015,KBWI,D1,20,265,0,10,0.5
5068,2.01501031247e+13,-77.25557,38.9887,KIAD,I2,14,114,0,20,0.5
5077,2.01501031248e+13,-77.08435,38.99414,KBWI,H1,22,255,0,30,0.5
5080,2.0150103125e+13,-77.31492,39.0838,KIAD,K3,10,90,0,10,0.5
5081,2.0150103125e+13,-77.36403,39.00657,KIAD,F3,9,121,0,30,0.5
5082,2.0150103125e+13,-77.20755,38.99228,KIAD,I2,16,110,0,40,0.5
5104,2.01501031251e+13,-77.08435,38.99414,KBWI,H1,22,255,0,20,0.5
5111,2.01501031253e+13,-77.19554,39.02349,KIAD,I2,16,103,0,20,0.5
5116,2.01501031254e+13,-77.10716,38.99621,KBWI,H1,23,256,0,30,0.5
5126,2.01501031256e+13,-77.18648,39.0835,KIAD,R3,16,90,0,50,0.5
5138,2.01501031257e+13,-77.06572,39.00445,KBWI,H1,21,256,0,20,0.5
5140,2.01501031257e+13,-77.12221,39.10235,KBWI,V1,23,272,0,40,0.5
5141,2.01501031259e+13,-76.92038,38.99011,KIAD,S3,29,101,0,20,0.5
5150,2.015010313e+13,-77.04677,39.01421,KBWI,H1,20,257,0,10,0.5
5151,2.015010313e+13,-76.98819,38.90776,KBWI,B2,20,237,0,10,0.5
5153,2.015010313e+13,-77.09558,39.14648,KBWI,V1,22,279,0,30,0.5
5156,2.01501031302e+13,-76.95148,39.06685,KIAD,V3,27,92,0,20,0.5
5973,2.01501031621e+13,-77.38757,38.93738,KIAD,R2,11,143,0,20,0.5
6004,2.01501031626e+13,-77.3868,38.92827,KADW,N9,29,299,0,30,0.5
6014,2.01501031627e+13,-77.38829,38.98153,KIAD,G3,9,133,0,20,0.5
6016,2.01501031627e+13,-77.39422,38.93363,KIAD,R2,11,145,0,30,0.5
6018,2.01501031628e+13,-77.37184,38.99921,KDCA,W0,24,307,0,10,0.5
6034,2.01501031629e+13,-77.38153,38.93564,KADW,N9,29,300,0,30,0.5
