Site_Serve,the_geom,Activity,Event_Date,LONG,LAT
Barclays,POINT (-73.97569133352013 40.68345377842603),Stadium Events,2/8/2019,-73.9756913335,40.6834537784
Barclays,POINT (-73.97569133352013 40.68345377842603),Stadium Events,2/28/2019,-73.9756913335,40.6834537784
St. John's University,POINT (-73.7916940941764 40.72560042547515),Stadium Events,2/28/2019,-73.7916940942,40.7256004255
Barclay Center,POINT (-73.97569133352013 40.68345377842603),Stadium Events,1/14/2019,-73.9756913335,40.6834537784
Barclays,POINT (-73.97569133352013 40.68345377842603),Stadium Events,1/14/2019,-73.9756913335,40.6834537784
Fordham University,POINT (-73.88922065311651 40.86056500360556),Stadium Events,1/23/2019,-73.8892206531,40.8605650036
Madison Square Garden - DWI,POINT (-73.99194427702065 40.75066151376061),Stadium Events,1/27/2019,-73.991944277,40.7506615138
Barclays,POINT (-73.97569133352013 40.68345377842603),Stadium Events,12/5/2018,-73.9756913335,40.6834537784
Barclays,POINT (-73.97569133352013 40.68345377842603),Stadium Events,12/7/2018,-73.9756913335,40.6834537784
Fordham Campus,POINT (-73.88922065311651 40.86056500360556),Stadium Events,12/8/2018,-73.8892206531,40.8605650036
St. John's,POINT (-73.7916940941764 40.72560042547515),Stadium Events,12/16/2018,-73.7916940942,40.7256004255
Dusk to Darkness,POINT (-73.93575420270547 40.85016768544356),Other Special Event,11/01/2018,-73.9357542027,40.8501676854
Bronx Safety City,POINT (-73.83881253024961 40.824058557225875),Car Seat Check,11/30/2018,-73.8388125302,40.8240585572
Rosedale Car Seats,POINT (-73.73664342768312 40.666785061789746),Car Seat Check,11/28/2018,-73.7366434277,40.6667850618
VZ Street Teams,POINT (-73.90231306710602 40.64513343352489),Street Teams,11/03/2018,-73.9023130671,40.6451334335
VZ/DOT Street Teams in Mall/Chelsea Market,POINT (-74.00486092713196 40.741645191829015),Street Teams,11/10/2018,-74.0048609271,40.7416451918
,POINT (-73.83881253024961 40.824058557225875),Car Seat Check,9/15/2018,-73.8388125302,40.8240585572
Bike Bonanza - Helmet Fitting & Distribution Event in Michael J. Petrides School,POINT (-74.10206680719473 40.60851136326576),Helmet Fitting,9/15/2018,-74.1020668072,40.6085113633
Central Park West,POINT (-73.9670986299348 40.77248329435638),Stadium Events,9/9/2018,-73.9670986299,40.7724832944
DOT/VZ Bike Helmet Fitting & Distribution Event,POINT (-73.892166047396 40.758595791657235),Helmet Fitting,9/29/2018,-73.8921660474,40.7585957917
DOT/VZ Helmet Fitting & Distribution @ Van Cortlandt Park Memorial Grove,POINT (-73.89989959490153 40.88955049338358),Helmet Fitting,9/22/2018,-73.8998995949,40.8895504934
DOT/VZ Helmet Fitting & Distribution Event @ Party on the Park,POINT (-73.94199252019709 40.800971956016916),Helmet Fitting,9/30/2018,-73.9419925202,40.800971956
