Table 5,,,,,,,,,
,,,,,,,,,
Drivers Involved in Crashes and Involvement Rates Per Licensed Driver,,,,,,,,,
,,,,,,,,,
"by Sex and Crash Severity, 1975-2016",,,,,,,,,
,,,,,,,,,
Drivers in Fatal Crashes,,,,,,,,,
Year,Male (> 15 Years Old),,,Female (> 15 Years Old),,,Total (> 15 Years Old)*,,
,Number Involved,Licensed Drivers,Involvement Rate,Number Involved,Licensed Drivers,Involvement Rate,Number Involved,Licensed Drivers,Involvement Rate
,in Crashes,(Thousands),per 100K Licensed,in Crashes,(Thousands),per 100K Licensed,in Crashes,(Thousands),per 100K Licensed
,,,Drivers,,,Drivers,,,Drivers
1975,"45,087","70,435",64.01,"9,356","59,233",15.8,"54,445","129,668",41.99
1976,"45,091","72,452",62.24,"9,953","61,458",16.19,"55,045","133,910",41.11
1977,"48,548","74,385",65.27,"10,775","63,591",16.94,"59,324","137,976",43
1978,"51,665","75,504",68.43,"11,221","65,177",17.22,"62,887","140,681",44.7
1979,"52,208","76,458",68.28,"11,308","66,695",16.95,"63,518","143,152",44.37
1980,"50,921","77,135",66.02,"11,353","68,067",16.68,"62,277","145,202",42.89
1981,"49,838","77,831",64.03,"11,396","69,142",16.48,"61,238","146,972",41.67
1982,"43,877","78,484",55.91,"10,579","71,627",14.77,"54,462","150,111",36.28
1983,"42,329","80,823",52.37,"10,854","73,440",14.78,"53,184","154,263",34.48
1984,"44,213","80,916",54.64,"11,806","74,398",15.87,"56,022","155,315",36.07
1985,"44,290","81,537",54.32,"12,031","75,231",15.99,"56,322","156,769",35.93
1986,"46,083","82,740",55.7,"12,603","76,651",16.44,"58,688","159,390",36.82
1987,"46,337","83,939",55.2,"13,492","77,789",17.34,"59,829","161,728",36.99
1988,"46,840","84,099",55.7,"13,814","78,661",17.56,"60,658","162,760",37.27
1989,"44,941","85,356",52.65,"13,927","80,160",17.37,"58,870","165,516",35.57
1990,"43,802","85,769",51.07,"13,586","81,203",16.73,"57,393","166,972",34.37
1991,"40,288","86,630",46.51,"12,716","82,300",15.45,"53,007","168,930",31.38
1992,"38,186","88,363",43.21,"12,492","84,716",14.75,"50,682","173,079",29.28
1993,"39,118","87,974",44.47,"12,960","85,138",15.22,"52,080","173,112",30.08
1994,"39,784","89,165",44.62,"13,449","86,183",15.61,"53,238","175,347",30.36
1995,"40,799","89,184",45.75,"14,043","87,386",16.07,"54,847","176,570",31.06
1996,"40,899","90,503",45.19,"14,723","89,007",16.54,"55,624","179,510",30.99
1997,"40,594","91,888",44.18,"14,816","90,789",16.32,"55,412","182,677",30.33
1998,"40,433","93,023",43.47,"14,967","91,805",16.3,"55,404","184,828",29.98
1999,"40,639","94,149",43.16,"14,717","92,988",15.83,"55,359","187,137",29.58
2000,"41,443","95,782",43.27,"14,682","94,816",15.48,"56,126","190,598",29.45
2001,"41,548","95,779",43.38,"14,829","95,471",15.53,"56,380","191,250",29.48
2002,"41,995","97,595",43.03,"14,876","96,978",15.34,"56,874","194,574",29.23
2003,"42,177","98,209",42.95,"15,106","97,919",15.43,"57,285","196,128",29.21
2004,"41,876","99,559",42.06,"15,272","99,305",15.38,"57,152","198,864",28.74
2005,"42,947","100,240",42.84,"14,967","100,285",14.92,"57,921","200,525",28.88
2006,"41,912","101,010",41.49,"14,661","101,589",14.43,"56,577","202,599",27.93
2007,"40,764","102,338",39.83,"14,101","103,152",13.67,"54,872","205,490",26.7
2008,"36,825","103,449",35.6,"12,536","104,537",11.99,"49,369","207,986",23.74
2009,"32,690","104,056",31.42,"11,797","105,153",11.22,"44,492","209,209",21.27
2010,"31,897","104,175",30.62,"11,796","105,542",11.18,"43,697","209,717",20.84
2011,"31,771","104,720",30.34,"11,227","106,794",10.51,"43,001","211,514",20.33
2012,"33,209","104,920",31.65,"11,557","106,767",10.82,"44,773","211,688",21.15
2013,"32,457","104,976",30.92,"11,382","107,121",10.63,"43,848","212,097",20.67
2014,"32,462","105,876",30.66,"11,250","108,154",10.4,"43,721","214,030",20.43
2015,"35,679","107,617",33.15,"12,332","110,402",11.17,"48,029","218,019",22.03
2016,"37,352","109,556",34.09,"13,208","112,093",11.78,"50,581","221,649",22.82
,,,,,,,,,
"Sources: FARS 1975-2015 Final, 2016 ARF; Licensed Drivers-Federal Highway Administration.",,,,,,,,,
,,,,,,,,,
*Total includes drivers (>15 years old) of unknown sex.,,,,,,,,,
,,,,,,,,,
Notes: Drivers in this table include motorcycle riders. Some States include restricted driver licenses and graduated driver licenses in their licensed driver counts.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"National Highway Traffic Safety Administration's Traffic Safety Facts Annual Report, generated 02/22/2018 at 9:36 PM",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 5,,,,,,,,,
,,,,,,,,,
Drivers Involved in Crashes and Involvement Rates Per Licensed Driver,,,,,,,,,
,,,,,,,,,
"by Sex and Crash Severity, 1988-2015",,,,,,,,,
,,,,,,,,,
Drivers in Injury Crashes,,,,,,,,,
Year,Male (> 15 Years Old),,,Female (> 15 Years Old),,,Total (> 15 Years Old)*,,
,Number Involved,Licensed Drivers,Involvement Rate,Number Involved,Licensed Drivers,Involvement Rate,Number Involved,Licensed Drivers,Involvement Rate
,in Crashes,(Thousands),per 100K Licensed,in Crashes,(Thousands),per 100K Licensed,in Crashes,(Thousands),per 100K Licensed
,,,Drivers,,,Drivers,,,Drivers
1988,"2,423,000","84,099","2,881","1,485,000","78,661","1,887","3,907,000","162,760","2,401"
1989,"2,347,000","85,356","2,749","1,446,000","80,160","1,804","3,793,000","165,516","2,291"
1990,"2,285,000","85,769","2,664","1,458,000","81,203","1,795","3,743,000","166,972","2,242"
1991,"2,171,000","86,630","2,506","1,380,000","82,300","1,677","3,551,000","168,930","2,102"
1992,"2,114,000","88,363","2,392","1,439,000","84,716","1,699","3,553,000","173,079","2,053"
1993,"2,144,000","87,974","2,437","1,468,000","85,138","1,724","3,612,000","173,112","2,086"
1994,"2,264,000","89,165","2,539","1,574,000","86,183","1,826","3,838,000","175,347","2,189"
1995,"2,378,000","89,184","2,667","1,687,000","87,386","1,931","4,066,000","176,570","2,303"
1996,"2,378,000","90,503","2,627","1,711,000","89,007","1,922","4,089,000","179,510","2,278"
1997,"2,296,000","91,888","2,499","1,643,000","90,789","1,809","3,939,000","182,677","2,156"
1998,"2,158,000","93,023","2,319","1,576,000","91,805","1,717","3,734,000","184,828","2,020"
1999,"2,134,000","94,149","2,267","1,609,000","92,988","1,730","3,743,000","187,137","2,000"
2000,"2,192,000","95,782","2,289","1,573,000","94,816","1,659","3,765,000","190,598","1,975"
2001,"2,090,000","95,779","2,182","1,547,000","95,471","1,620","3,637,000","191,250","1,902"
2002,"2,000,000","97,595","2,049","1,481,000","96,978","1,528","3,482,000","194,574","1,789"
2003,"1,990,000","98,209","2,026","1,525,000","97,919","1,557","3,514,000","196,128","1,792"
2004,"1,912,000","99,559","1,920","1,482,000","99,305","1,493","3,394,000","198,864","1,707"
2005,"1,837,000","100,240","1,832","1,425,000","100,285","1,421","3,262,000","200,525","1,627"
2006,"1,763,000","101,010","1,745","1,387,000","101,589","1,366","3,150,000","202,599","1,555"
