company_id,user,company,industry,date_established,logo
101,@alzah,International s Inc.,STATE_MILTARY_FEDERAL,6/5/1942,//www.gravatar.com/avatar/f44bf16d3cce8d1e67c6951deb1c9ff4
102,@ta,Hercules Inc.,OTHER,1/26/2014,//www.gravatar.com/avatar/f58110406b8ac1fd10abc9ddc87b0ffe
103,@run,Willamette Industries Inc.,WHOLESALE_TRADE,7/24/2024,//www.gravatar.com/avatar/f60c4527cce4650a741eb6c52290001b
104,@zec,Hibernia Corp.,WHOLESALE_TRADE,4/2/1966,//www.gravatar.com/avatar/1f3dcc105521a0d3ea118c6f92fd7aa2
105,@fofeeze,National Corporation,STATE_MILTARY_FEDERAL,2/17/1998,//www.gravatar.com/avatar/0d268610b8a7d8817edef1d3e9e44981
106,@duzhak,Gentek Inc.,OTHER,11/19/1910,//www.gravatar.com/avatar/35f74b2d41881d46f289904c69d7c353
107,@dujalieni,ARA Corporation,RETAIL,6/30/1979,//www.gravatar.com/avatar/3e64052e6cae21f085349aa06e368f46
108,@fatjel,3Base inc,WHOLESALE_TRADE,7/26/1958,//www.gravatar.com/avatar/7493da4334bf8b707eb8eeabc054cd24
109,@somcinma,Genesis  Ventures Inc.,WHOLESALE_TRADE,3/12/1949,//www.gravatar.com/avatar/dc6415038cb2742467dbfe9af7b15ada
110,@ahowil,Pitney Bowes Inc.,FUEL,7/14/1910,//www.gravatar.com/avatar/55ea9a364c96f4fea387d393f02b8812
111,@vihtifdi,Teradyne Inc,RETAIL,4/15/2033,//www.gravatar.com/avatar/b0c96f5ccf738f79d7a228a32bbb03b8
112,@ehu,BAmerica Corporation,FUEL,11/21/1932,//www.gravatar.com/avatar/69e08d2fa1c1dd6a163751396ee32f63
113,@liza,Tower Auto Inc.,OTHER,1/28/1980,//www.gravatar.com/avatar/f71ce12367c99546267ce38e0ff589ca
114,@nibe,Timken Company,TECHNOLOGY,11/1/2054,//www.gravatar.com/avatar/7cbf75a21e8bc47a2350da23c565ac0e
115,@imazuoke,The  Company,RETAIL,9/5/1907,//www.gravatar.com/avatar/8f25cf5f3d070a98b09857d3e089dcf3
116,@ce,Rock-Tenn Co,FUEL,9/30/1928,//www.gravatar.com/avatar/9c8922d50d4b52b3963ebc69c039f355
117,@rida,Ent Corporation,FUEL,4/23/2032,//www.gravatar.com/avatar/95e5be00a09afc11be3e9add0b782a29
118,@taz,Phar Corp,RETAIL,11/20/1934,//www.gravatar.com/avatar/3c5ada4ee49ee05c390984c3f5e405e2
119,@megnac, International Corp.,OTHER,6/23/2035,//www.gravatar.com/avatar/25f46c013c5ddc8bad29481f8dfb48c1
120,@ceptej,Mobil Corporation,TECHNOLOGY,7/12/1952,//www.gravatar.com/avatar/3096503b4a15fe1513e14b2e4afdacb0
